mean_norm_loaded_hipjoint_moment,std_norm_loaded_hipjoint_moment,mean_norm_loaded_kneejoint_moment,std_norm_loaded_kneejoint_moment,mean_norm_loaded_hipjoint_power,std_norm_loaded_hipjoint_power,mean_norm_loaded_kneejoint_power,std_norm_loaded_kneejoint_power,mean_loaded_hipjoint_speed,std_loaded_hipjoint_speed,mean_loaded_kneejoint_speed,std_loaded_kneejoint_speed,mean_loaded_hipjoint_kinematics,std_loaded_hipjoint_kinematics,mean_loaded_kneejoint_kinematics,std_loaded_kneejoint_kinematics,mean_norm_noload_hipjoint_moment,std_norm_noload_hipjoint_moment,mean_norm_noload_kneejoint_moment,std_norm_noload_kneejoint_moment,mean_norm_noload_hipjoint_power,std_norm_noload_hipjoint_power,mean_norm_noload_kneejoint_power,std_norm_noload_kneejoint_power,mean_noload_hipjoint_speed,std_noload_hipjoint_speed,mean_noload_kneejoint_speed,std_noload_kneejoint_speed,mean_noload_hipjoint_kinematics,std_noload_hipjoint_kinematics,mean_noload_kneejoint_kinematics,std_noload_kneejoint_kinematics
0.773498399,0.227318043,-0.481164807,0.113418579,-0.158464919,0.23171087,1.065589791,0.461542565,-0.177971311,0.282254083,-2.157633637,0.569754076,37.62514725,4.18849046,7.111144716,3.301883605,0.826311031,0.168805121,-0.491258522,0.089596163,-0.202596797,0.5004201,1.422739388,0.584604806,-0.199187302,0.552131428,-2.809835808,0.786435922,31.81062553,4.475158021,5.960105915,2.630718784
0.781572922,0.229125396,-0.480464366,0.113351627,-0.164507402,0.235326964,1.085066528,0.464185687,-0.183208488,0.281753172,-2.201512892,0.563520327,37.63703672,4.192177805,7.259855608,3.316332812,0.831408449,0.169826596,-0.488184476,0.089419134,-0.204135889,0.502543974,1.432274315,0.582873233,-0.198927191,0.553336917,-2.847796253,0.786147525,31.82279311,4.459109259,6.14275214,2.618531593
0.788372421,0.23058684,-0.478797904,0.11313587,-0.170256821,0.238608951,1.10139228,0.465578862,-0.188276654,0.281346793,-2.243841509,0.557394439,37.64928249,4.195699723,7.411456238,3.331020807,0.835199613,0.170487807,-0.484108964,0.089051871,-0.205217269,0.503457372,1.437664068,0.579643652,-0.198471602,0.554212749,-2.883913435,0.785844793,31.8349402,4.443341557,6.327824582,2.606905131
0.79378879,0.231783215,-0.476099301,0.112833631,-0.17566881,0.241531342,1.114294955,0.465807011,-0.193164486,0.281036557,-2.28457513,0.551394866,37.66188706,4.199036724,7.565946477,3.346020559,0.837620458,0.170805493,-0.478998054,0.088502075,-0.205801966,0.503137891,1.438712095,0.574882859,-0.197810019,0.554754734,-2.918176645,0.785511803,31.84705234,4.42787357,6.515221919,2.595808499
0.797810936,0.232749642,-0.472367504,0.112470316,-0.180718633,0.244088831,1.123702606,0.464920758,-0.197861518,0.280825363,-2.323735505,0.545546749,37.67483643,4.202196467,7.723183888,3.361210605,0.838676255,0.170837358,-0.472865855,0.08781515,-0.205891208,0.501626231,1.435414201,0.568657717,-0.19694264,0.5549706,-2.950630463,0.78514123,31.85911089,4.412730209,6.704763188,2.585261556
0.800444188,0.233528525,-0.467612389,0.112063513,-0.185386878,0.246265931,1.129580883,0.463004718,-0.202361496,0.280715064,-2.361355911,0.539842845,37.68809974,4.205187495,7.882997485,3.376553751,0.838369095,0.170642353,-0.465719182,0.087022631,-0.205482562,0.498952969,1.427752045,0.561094452,-0.195860299,0.554859015,-2.981287286,0.784747217,31.87110703,4.397928755,6.896358036,2.575270772
0.80169723,0.234166232,-0.461834312,0.111651782,-0.189642841,0.248064656,1.131839005,0.460180584,-0.206651268,0.280707514,-2.397403679,0.534305617,37.70168493,4.207997353,8.045375026,3.392121748,0.836701959,0.170266827,-0.457565521,0.086152018,-0.204589619,0.495162962,1.415721604,0.552320555,-0.194558845,0.554420609,-3.010162601,0.784340658,31.88302797,4.38348702,7.089897929,2.565842913
0.801631513,0.234654599,-0.455072826,0.111227804,-0.193471009,0.249494749,1.130523941,0.456488004,-0.210721664,0.280805592,-2.431893698,0.528970936,37.71557664,4.210630665,8.210196242,3.407801593,0.833705288,0.169758129,-0.448432442,0.085229926,-0.203247193,0.490309331,1.399394705,0.542461828,-0.193041752,0.553657794,-3.037290421,0.783918392,31.89485918,4.369417176,7.285243615,2.556952781
0.800313313,0.234984935,-0.447370263,0.110789987,-0.196848484,0.250559927,1.125687066,0.451942202,-0.214566082,0.281004426,-2.464855003,0.523807727,37.72974775,4.213093961,8.377309993,3.423534536,0.829416456,0.169183072,-0.438347941,0.084288277,-0.201478164,0.484443656,1.378854743,0.531660041,-0.191305988,0.552569928,-3.062688469,0.783484923,31.90658956,4.35573628,7.482283161,2.548608798
0.797804547,0.235172502,-0.438762456,0.110351903,-0.199763248,0.251273787,1.117372754,0.446639144,-0.218174206,0.281307409,-2.496290017,0.518832844,37.74419176,4.215378179,8.546638369,3.439418512,0.823882156,0.168588699,-0.427340744,0.083339159,-0.199289838,0.477636258,1.35417893,0.520020034,-0.189342139,0.551157208,-3.086352851,0.783044346,31.9182021,4.342459824,7.680936846,2.540813063
