-40.9486433,-36.80646966,-35.99905877,-21.3090212,-27.57374902,-32.51013998,-39.46218201,-27.4278727,-21.9666088,-64.32604646,52.198949209999995,50.336404134999995,-26.63493181,-25.20705485,-35.23959664,-16.90081955,-24.55180496,-29.98547332,-6.06669592,-36.90099926,-17.75261773
-40.38845072121943,-36.093565817113195,-35.657393187773856,-22.285109787902314,-27.050837953091836,-31.748048457360525,-39.54550213798132,-27.18589974692366,-21.704940373190524,-64.47401560067188,52.48669236766547,50.67415403271448,-25.979895733480802,-24.088870054863964,-34.463519254131604,-16.233349998396562,-24.003547954518496,-29.889709741020866,-6.747386829912707,-37.166124522934155,-18.056640492941835
-39.8475867012562,-35.532881776622304,-35.30718093925431,-22.9025277144221,-26.618508902659773,-31.110979285602642,-39.64704801439568,-26.93379943363931,-21.443272872368986,-64.61784457434837,52.774435525330944,51.0606192297478,-25.4764871463633,-23.449668678895197,-33.8771013006966,-15.708458502481326,-23.712701833165028,-29.788579566870418,-7.3090691842968525,-37.43124978586831,-18.360663255883665
-39.33025681993364,-34.97826519636123,-34.83435876645215,-23.519945479243248,-26.088934749321574,-30.490740415087476,-39.748593891858164,-26.624755465642785,-21.181604485270803,-64.74690913723197,53.10263206987384,51.447085275420655,-24.973077216565198,-22.81046765474098,-33.2906832339472,-15.18356876259867,-23.421854863376524,-29.685250996245877,-7.87074773797862,-37.730125015691115,-18.6646860188255
-38.81292695484249,-34.423647223017994,-34.276479323202445,-24.076958344913912,-25.559361861692246,-29.87050615790194,-39.850139899915916,-26.31571291649427,-20.919936524620127,-64.87597341909972,53.48841726328337,51.83355135911577,-24.31742699644535,-22.171266980987987,-32.70426075605797,-14.658679430648567,-23.131008400497937,-29.5819225741394,-8.432426661345499,-38.0434976698879,-19.076036518369584
-38.2955971892034,-33.92375473315655,-33.7185993866446,-24.198837764864177,-25.02978680470847,-29.250269615857917,-39.62579398484593,-26.006668397874563,-20.658269540593984,-65.00503776805988,53.8834328168957,52.22001793905218,-23.471777161131623,-21.532065371813932,-32.11784279055878,-14.17765753298046,-22.840162420204596,-29.4785943265296,-8.994105584712377,-38.35686925540745,-19.471164241307903
-37.778267756170834,-33.441510949004446,-33.16071954404072,-24.320716854051025,-24.500211413539013,-28.630031725633657,-39.18630550303783,-25.697626141258244,-20.396600648127393,-65.13410253937988,54.300821247418426,52.606482393071374,-22.62612975649759,-20.764956971257984,-31.38584420250293,-13.791069574988615,-22.549316388474203,-29.375265711741456,-9.555785350738997,-38.67024054629466,-19.859947869373777
-37.260937987540196,-32.959265001194346,-32.60284071535211,-24.442595922355643,-23.97063595186255,-28.0097938354094,-38.74681478001674,-25.387771735806982,-20.134933397635074,-65.26316711459543,54.71820940230903,52.99294897846402,-21.78048162990437,-19.950113564155668,-30.615691788102474,-13.404481781834257,-22.24976475433752,-29.179361165936427,-10.117465686709169,-38.93448838036489,-20.24873111815488
-36.862229066935825,-32.47702054958033,-32.044961886663536,-24.564474371148744,-23.441060516521368,-27.235378647689053,-38.30732475085675,-25.072302439828633,-19.8426631822337,-65.3922315951805,55.13559402243301,53.379415063971706,-20.93483264140542,-19.135270715211185,-29.84554047836768,-13.017894011982813,-21.949137344160945,-28.97715499705467,-10.67914602685052,-39.17768277573276,-20.637514367850915
-36.584539341524895,-31.99477851392151,-31.487084005891475,-24.68635366864865,-22.91148513910963,-26.4093465144843,-37.867835297809954,-24.756833851964306,-19.48746171254451,-65.46868885162603,55.552982070480496,53.765879122275024,-20.089183652906424,-18.320429736332294,-29.07538759335599,-12.631307247375517,-21.648509013388615,-28.774949754299573,-11.240826368278409,-39.420877701264516,-21.02629763802508
-36.306850586719186,-31.512533535286995,-30.92920165808836,-24.808232331359523,-22.34880744584872,-25.583313877036105,-37.42834585084145,-24.4413665221286,-19.132262454255404,-65.47025365879223,55.970368638297195,54.152344562174676,-19.243537608342272,-17.50558874944388,-28.305239760252668,-12.244719597144051,-21.34788209224332,-28.57274416590742,-11.749870340698811,-39.66407350918447,-21.41508091278252
-36.02916289292811,-31.03028838282076,-30.37132324313819,-24.930111360260426,-21.76879313216731,-24.75728388885714,-36.98885640387294,-24.125898179605027,-18.777063955471558,-65.4718184653668,56.387754594037666,54.53301238262321,-18.3978871575166,-16.69074440331972,-27.535088894824003,-11.858131938947674,-21.047253108183277,-28.37053798900616,-12.195274368572598,-39.90726970720859,-21.8038641883735
-35.751473391447234,-30.548043209800536,-29.880011190109112,-24.833544343954415,-21.188779686819665,-23.931254696531663,-36.487284041355146,-23.810429550745614,-18.421865252735028,-65.47338326862885,56.805140546395435,54.908627815302175,-17.55223908509074,-15.875904007614139,-26.764936347648728,-11.471546910329112,-20.746625364094598,-28.168331809148775,-12.640677765436488,-40.1504644688593,-22.19264745854772
-35.47378419539323,-30.209561534135595,-29.529480620032206,-24.358063405683602,-20.608767964163363,-23.10522379482646,-35.82033839058586,-23.494961579103606,-18.066665561212737,-65.47494807855779,57.222529063926785,55.284241645453164,-16.730374899106796,-15.061063422848676,-25.994783798797908,-11.007481563907493,-20.445998295090934,-27.96612586057057,-13.086080759563561,-40.39365919122805,-22.424038789468455
-35.19609597064936,-30.262787393446967,-29.178949929128642,-23.88258023458822,-20.028752720631775,-22.27919255387635,-35.153391951440774,-23.179492173231704,-17.711465501871462,-65.47651288648072,57.63991567033472,55.659855853684675,-15.927433326020303,-14.246220877475407,-25.24263998580712,-10.469724029164158,-20.095508991837637,-27.678716316246952,-13.53148386018775,-40.636853542339594,-22.436409225498643
