subjects,load condition,constraints,device type,avg power 01,avg power 02,avg power 03,
subject05,loaded,constrained,biarticular,1.57778905128501,1.4283546726196112,1.413325661954945
subject07,loaded,constrained,biarticular,1.9447534744158677,1.899463420491538,1.9246763042323947
subject09,loaded,constrained,biarticular,1.8996465715803872,1.9079675959605051,1.9522878203081306
subject10,loaded,constrained,biarticular,2.943805413037806,nan,2.7956166559935545
subject11,loaded,constrained,biarticular,2.116581075412549,2.123104466759812,2.151549921610349
subject12,loaded,constrained,biarticular,2.5758297710342886,2.4746146065361128,2.465378536774913
subject14,loaded,constrained,biarticular,2.7350044207241258,2.3304340521959057,2.3606441540680114
subject05,loaded,constrained,monoarticular,1.7597670663415954,1.3748526708564368,1.3863735456624315
subject07,loaded,constrained,monoarticular,1.9809664980299506,1.7374066206686707,1.8736905827181372
subject09,loaded,constrained,monoarticular,1.8717841923583964,2.0273214825192545,2.0794915618598333
subject10,loaded,constrained,monoarticular,2.601502371153771,2.4813036416131036,2.629600385283621
subject11,loaded,constrained,monoarticular,2.151399062082813,2.0618255667472516,2.156555507331449
subject12,loaded,constrained,monoarticular,1.7908287803257052,1.6562707309238425,1.4319942961069119
subject14,loaded,constrained,monoarticular,2.4002481852990636,2.170392447398453,2.4818302216579493
subject05,noload,constrained,biarticular,1.5641918644316843,1.6617358707010643,1.7443546029444568
subject07,noload,constrained,biarticular,1.9722640407014693,1.822440876815476,1.8674662256400847
subject09,noload,constrained,biarticular,1.7920477750663053,1.6790083115985692,1.751529461288669
subject10,noload,constrained,biarticular,2.4723914576273436,2.495747250365268,2.5261707204219537
subject11,noload,constrained,biarticular,2.080891093099768,2.200484939865273,2.1229281332657477
subject12,noload,constrained,biarticular,2.693797976234877,2.799896239485145,2.919203577275755
subject14,noload,constrained,biarticular,2.5134188680834306,2.5734154694737477,2.345031639214285
subject05,noload,constrained,monoarticular,1.3458180701260498,1.4607112025584112,1.1420716221105658
subject07,noload,constrained,monoarticular,1.8190180503454427,1.8673618474117246,1.8812718936537818
subject09,noload,constrained,monoarticular,1.8636435145395507,1.6113716235439002,1.757817163460913
subject10,noload,constrained,monoarticular,2.1534755938385155,2.1120103219132162,2.0655948750271653
subject11,noload,constrained,monoarticular,1.8239139910543118,1.8075204918633783,1.8756936674342475
subject12,noload,constrained,monoarticular,2.151410809406318,2.2386691475500653,2.4346338348059287
subject14,noload,constrained,monoarticular,2.1156397496205464,2.1817852200209957,2.057393903502693
