subjects,load condition,constraints,device type,max power 01,max power 02,max power 03,
subject05,loaded,constrained,biarticular,5.552501505114293,5.244838884194609,5.5956816792670985
subject07,loaded,constrained,biarticular,5.496052678135157,5.831509552728903,5.941373468788524
subject09,loaded,constrained,biarticular,5.28695213981588,5.212527975258919,5.628354269850402
subject10,loaded,constrained,biarticular,8.773413195845698,nan,8.129547474621273
subject11,loaded,constrained,biarticular,7.186506205619562,6.8769868746767,6.982899858687984
subject12,loaded,constrained,biarticular,6.544600857462019,6.150141032320524,6.280678164730414
subject14,loaded,constrained,biarticular,7.244340346938775,6.288276438835183,7.641040324621077
subject05,loaded,constrained,monoarticular,5.049231779774081,4.482240813128168,4.660683089566842
subject07,loaded,constrained,monoarticular,5.4518789761291035,4.524569299226718,4.94307780354141
subject09,loaded,constrained,monoarticular,4.795387524856157,5.183250276179516,5.223960817606443
subject10,loaded,constrained,monoarticular,7.895480511166641,7.015875274871154,7.384215774324536
subject11,loaded,constrained,monoarticular,6.531172863978368,6.279346493298847,6.124710789913003
subject12,loaded,constrained,monoarticular,6.010220468573131,5.613839873100983,5.64214732365207
subject14,loaded,constrained,monoarticular,6.830723309822174,6.324730313641246,7.0944108427019925
subject05,noload,constrained,biarticular,5.536238688517299,5.634057430579027,5.50296720955261
subject07,noload,constrained,biarticular,5.8073168620419136,5.817782712428555,6.002328650565953
subject09,noload,constrained,biarticular,5.4756859444188715,5.303848091829689,5.148152922439586
subject10,noload,constrained,biarticular,8.031074497891614,8.033510001717945,8.521408813837263
subject11,noload,constrained,biarticular,6.082418438278862,6.14578418822008,5.846446554079473
subject12,noload,constrained,biarticular,8.030598958742925,8.450550433273756,8.197291358802502
subject14,noload,constrained,biarticular,7.0541861366511505,7.297045649242152,6.86567412686478
subject05,noload,constrained,monoarticular,4.090024256870942,4.7496716619229735,4.4644855441608104
subject07,noload,constrained,monoarticular,5.441399027457132,5.239232347977137,5.0563476060741905
subject09,noload,constrained,monoarticular,4.421014768814729,4.739925791254315,4.2116467569620255
subject10,noload,constrained,monoarticular,7.043159647352803,6.702782154615025,6.7415508567858815
subject11,noload,constrained,monoarticular,5.454455633787914,4.796127369268751,4.866808701152128
subject12,noload,constrained,monoarticular,7.370759256032172,6.883354522639262,7.4284764305927915
subject14,noload,constrained,monoarticular,6.751759215658193,6.405756385129489,6.4749032164936136
